Reservoir Name,Latitude,Longitude
Baldeva,21.616794307069448, 73.40979485120053
BALIMELA RESERVOIR,18.25314,82.1849588
Bangawadi,13.0764978,75.3590152
Bantva-Kharo,21.4900542,70.0749046
Berachia,23.212398279957153, 69.06631064668584
Bhadar,21.810312858273956, 70.8073534954462
Bhadar - II,21.780904741528023, 70.4394147431314
BHAIRAVANITHIPPA PROJECT,14.5394713,76.8386364
Bhimdad,22.0868593,71.5842643
Bhukhi,22.6345342,73.59769
BHUPATIPALEM RESERVOIR,17.4491681,81.7581928
BRAHMAMSAGAR RESERVOIR,14.7802661,78.8892146
BUGGAVAGU,16.47007557187789, 79.52936207254967
BUGGAVANKA RESERVOIR,14.397674131672327, 78.8388857547677
CHAGALLU BALANCING RESERVOIR,16.9918555,81.6652051
CHENNARAYA SWAMI GUDI PROJECT,13.86311168069486, 78.17494510640901
CHERLOPALLI RESERVOIR,14.0348879,78.1121215
Chhaparwadi-II,21.888988583629462, 70.63119199701075
CHITRAVATI BALANCING RESERVOIR,14.5465668,77.948165
Chopadvav,21.5513475,73.735282
CUM BUM TANK,15.580755627728184, 79.06102417914856
Damanganga,20.37363049904731,72.87074420367418
DAMODARAM SAGARAM,17.86850717613452, 82.79076315409021
Dantiwada,24.32383,72.3308073
Demi - I,22.637971995806858, 70.68138509225612,
Demi - II,22.740511480508314, 70.61211207775975
Deo,21.80736495593551, 86.08698557551583
Dhari,21.326649,71.02525709999999
Dharoi,24.0004375,72.8426858
Dhatarvadi,21.03559782320557, 71.42418754037168
Dhatarwadi-II,21.132951201967014, 71.43260194559487
Dholi,21.712826356419054, 73.32250084724969
Dholidhaja,22.7213641,71.5872314
Dia-Minsar,21.83238541974844, 69.93140645454493
Don,21.871936472608144, 69.7930059861553
Dondi,22.286629418188138, 70.60316829490951
DONKARAYI RESERVOIR,17.9634385,81.8688751
Doswada,21.1231609,73.49462
Dhrafad,21.34566706454572, 70.70942255670187
Edalwada,22.679025801961128, 74.0521246025957
Falku,36.845974,10.1570662
Fatehgadh,23.7023588,70.84618429999999
Fulzar-I,20.0245169,79.6403857
Fulzar-II,22.246228809639057, 69.80916784871994
Gadhaki,22.11395780170169, 69.45295563831799
Gajansar,23.5963676,69.1089444
GAJJILIGEDDA RESERVOIR,18.575639684065287, 83.83045553241871
Gajod,23.0362651,69.5693225
GAJULADINNE PROJECT,15.6933813,77.619379
GANDIKOTA RESERVOIR,14.8007239,78.2347984
GANDIPALEM RESERVOIR PROJECT,14.9803748,79.281759
Ghee,22.179949760262996, 69.65456253751007
Ghelo-I,22.054906068235, 71.38860782270683
Ghodadhroi,28.627729,80.9650023
GODDAMVARIPALLI SR3,14.2426406,78.5407079
GODDUMARRI ANICUT,14.690767486932051, 78.0575814152
Godhatad,23.6388965,68.6499169
GOLLAPALLI RESERVOIR,14.1991049,77.5831115
Goma,22.23768312770168, 71.49542628582365
Gondali,22.065567408014065, 70.85994381283173
GONELAVAGU RESERVOIR,18.8756,79.6927
GORAKKALU BALANCING RESERVIOR,18.7292712,79.4647633
Gorathiya,23.487462452700274, 73.01266914324484
GOTTA BARRAGE,18.6887708,83.962147
Guhai,23.708860035262145, 73.03685694589767
GUNDLAKAMMA RESERVOIR,15.6879212,79.9822126
Hadaf,22.895051145151673, 73.89187559226748
Hamirpara,21.4980891,72.0608898
Hanol,30.9700226,77.9267437
Harnav-II,23.985106089656092, 73.30126025544709
Hasanapur,26.4149694,80.60354939999999
Hiran-I,21.196595826609418, 70.66906208981699
Ishwaria,21.984344254664528, 71.01631681880576
JALLERU RESERVOIR,17.291468083315593, 81.34869568245598
Jangdia,23.405910572152305, 87.08291979640524
Jaspara-Mandva,21.4635497,72.2112099
Javanpura,23.5972334,73.20281
JEEDIPALLI RESERVOIR,14.6873805,77.2663771
Jhanjeshri,21.393921471412323, 70.80839023995999
Jhuj,20.708812966101913, 73.39015978204671
Kabarka,22.050255,69.829959
Kabir-Sarovar,22.6851485,81.7453716
Kabutari,22.97401569168919, 73.93124077933922
Kadana,23.2895908,73.8382306
Kaila,23.734309402782113, 69.85991370543123
Kakdi-Amba,21.549644,73.8566087
KALANGI RESERVOIR,13.6017185,79.79489439999999
Kali - II,22.864704856103568, 74.23427772344424
Kalindri,21.722665320650687, 69.95999329153774
KALINGADAL PROJECT,18.950257875127015, 84.43548262127386
Kalubhar,21.86666630350509, 71.62174731941973
KALYANI DAM,13.6576604,79.26922139999999
KANDALERU RESERVOIR,14.347401,79.59405439999999
KANIGIRI RESERVOIR,14.5831965,79.85768279999999
Kaniyad,22.2530939,71.6317359
Kankavati,23.071115,71.3581703
Kankawati,23.071115,71.3581703
Karad,17.277693,74.1843535
Karjan,22.0534997,73.1201988
Karmal,22.039350528257796, 70.99503242004411
Karnuki,21.938785,71.1827267
Kaswati,23.378143949679753, 69.90110522184725
Kelia,20.703674168452377, 73.28516471132275
Khambhada,22.163874,71.8037638
Khambhala,22.3389849,70.67521339999999
Kharo,21.510234623029167, 70.08355773716741
Khedva,24.1298572,73.0936509
Khodapipar,22.5602472,70.6157308
Khodiyar,21.351038760451544, 71.0379858713578
KONAM RESERVOIR,17.9785438,82.8506002
KOVVADAKALVA RESERVOIR,17.200454081428116, 81.50252046069157
KRISHNAGIRI RESERVOIR,12.5265661,78.2149575
KRISHNAPURAM PROJECT,79.3561,13.5377
Lakhanka,21.956392,71.659919
Lakhigam,21.6898778,72.55227769999999
Lalpari,22.305295689014663, 70.84953316006121
Lank,23.147435489370785, 73.24968772811273
Limbali,22.5619146,72.7067604
